S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
1.0,0.051610239471511145,0.04232039636663914,0.09269199009083402,0.1672171758876961,0.2235755573905863,0.21820809248554912,0.5132122213047069,0.48678777869529316,48001950100,48,001,950100
1.0,0.0,0.13104588673005374,0.3617197188921042,0.3340223232740802,0.1260851591566763,0.017362546506821,0.9627945431996693,0.037205456800330716,48001950401,48,001,950401
1.0,0.0006656903208627346,0.03568100119824258,0.25629077353215285,0.4638530155771535,0.21168952203434963,0.028491545732925044,0.9885501264811609,0.011449873518839035,48001950402,48,001,950402
1.0,0.0425531914893617,0.08577827547592386,0.15274356103023518,0.19820828667413215,0.1496080627099664,0.14647256438969763,0.509070548712206,0.49092945128779397,48001950500,48,001,950500
1.0,0.06682206682206682,0.08702408702408702,0.17618492618492618,0.168997668997669,0.19153069153069152,0.1418026418026418,0.49145299145299143,0.5085470085470085,48001950600,48,001,950600
1.0,0.033417175709665826,0.10025152712899749,0.11498383039885016,0.277398490837226,0.0855192238591448,0.1322314049586777,0.5831836148041681,0.41681638519583186,48001950700,48,001,950700
1.0,0.026884650317892826,0.13097184377838328,0.15912806539509536,0.17366030881017258,0.13987284287011809,0.12788374205267938,0.45122615803814714,0.5487738419618529,48001950800,48,001,950800
1.0,0.053222581141362864,0.047992616520535304,0.12475003845562221,0.2107368097215813,0.2041224427011229,0.1762805722196585,0.5580679895400708,0.44193201045992925,48001950901,48,001,950901
1.0,0.008664741168629194,0.0642079537880471,0.07576094201288602,0.14707842701621862,0.32837147300599867,0.19840035547656076,0.5112197289491224,0.48878027105087757,48001950902,48,001,950902
1.0,0.05016492578339747,0.09524463991203959,0.06212204507971413,0.20313358988455196,0.19612424409015944,0.19474986256184718,0.4755360087960418,0.5244639912039583,48001951000,48,001,951000
1.0,0.03965750337990086,0.057908968003605225,0.103199639477242,0.21248310049571878,0.18048670572329878,0.2278053177106805,0.5256872465074358,0.47431275349256424,48001951100,48,001,951100
1.0,0.062472885032537964,0.06550976138828633,0.1336225596529284,0.19349240780911062,0.18047722342733188,0.10498915401301519,0.516702819956616,0.48329718004338396,48003950100,48,003,950100
1.0,0.05626255860683188,0.09725385130609511,0.17066309444072336,0.17749497655726726,0.17334226389819157,0.11346282652377764,0.487073007367716,0.512926992632284,48003950200,48,003,950200
1.0,0.04418081407240745,0.09183882184495806,0.11842912661075884,0.16281448148905706,0.12886070771118838,0.0783391286561669,0.5361014522397218,0.46389854776027817,48003950300,48,003,950300
1.0,0.04293751850755108,0.09535090316849275,0.163754811963281,0.24489191590168788,0.13088540124370743,0.10008883624518804,0.5111045306485046,0.4888954693514954,48003950400,48,003,950400
