S0101_C01_001E,S0101_C01_021E,S0101_C01_023E,S0101_C01_007_8E,S0101_C01_009_11E,S0101_C01_012_14E,S0101_C01_030E,S0101_C03_001E,S0101_C05_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
4844,250,205,449,810,1083,1057,2486,2358,48001950100,48,001,950100
4838,0,634,1750,1616,610,84,4658,180,48001950401,48,001,950401
7511,5,268,1925,3484,1590,214,7425,86,48001950402,48,001,950402
4465,190,383,682,885,668,654,2273,2192,48001950500,48,001,950500
5148,344,448,907,870,986,730,2530,2618,48001950600,48,001,950600
2783,93,279,320,772,238,368,1623,1160,48001950700,48,001,950700
5505,148,721,876,956,770,704,2484,3021,48001950800,48,001,950800
6501,346,312,811,1370,1327,1146,3628,2873,48001950901,48,001,950901
4501,39,289,341,662,1478,893,2301,2200,48001950902,48,001,950902
7276,365,693,452,1478,1427,1417,3460,3816,48001951000,48,001,951000
4438,176,257,458,943,801,1011,2333,2105,48001951100,48,001,951100
2305,144,151,308,446,416,242,1191,1114,48003950100,48,003,950100
7465,420,726,1274,1325,1294,847,3636,3829,48003950200,48,003,950200
4889,216,449,579,796,630,383,2621,2268,48003950300,48,003,950300
3377,145,322,553,827,442,338,1726,1651,48003950400,48,003,950400
6346,370,504,468,1464,1362,913,2990,3356,48005000101,48,005,000101
4761,229,204,609,1146,758,546,2251,2510,48005000102,48,005,000102
6677,257,634,704,1440,1249,948,3720,2957,48005000200,48,005,000200
5288,333,611,422,1077,996,838,2579,2709,48005000301,48,005,000301
5218,194,486,705,800,882,938,2490,2728,48005000302,48,005,000302
4938,332,387,546,812,1132,912,2290,2648,48005000400,48,005,000400
3973,68,411,646,609,742,572,1763,2210,48005000500,48,005,000500
6674,148,736,1127,930,1008,818,3296,3378,48005000600,48,005,000600
3834,147,443,798,531,557,295,2022,1812,48005000700,48,005,000700
5933,263,453,897,1162,886,1054,2861,3072,48005000800,48,005,000800
6377,436,414,1007,1154,917,1185,2948,3429,48005000901,48,005,000901
3704,86,615,630,614,605,666,1645,2059,48005000902,48,005,000902
4886,220,391,405,973,1208,841,2798,2088,48005001001,48,005,001001
4031,192,272,551,647,685,711,2104,1927,48005001002,48,005,001002
6716,336,440,816,1199,1514,1174,3218,3498,48005001100,48,005,001100
2400,127,137,205,433,575,496,1150,1250,48005001200,48,005,001200
5566,94,461,722,871,1232,940,2481,3085,48005001300,48,005,001300
5333,88,319,473,727,1011,2093,2205,3128,48007950100,48,007,950100
1085,40,72,42,110,285,464,579,506,48007950200,48,007,950200
7598,294,855,602,1167,1678,2099,3931,3667,48007950300,48,007,950300
4573,242,328,367,777,1031,672,2103,2470,48007950400,48,007,950400
5873,240,421,463,779,1655,1383,3086,2787,48007950500,48,007,950500
2939,113,136,334,521,768,582,1502,1437,48009020100,48,009,020100
2323,88,243,196,346,605,488,1151,1172,48009020200,48,009,020200
3454,191,306,358,684,623,632,1694,1760,48009020300,48,009,020300
1973,84,117,171,396,408,425,982,991,48011950100,48,011,950100
7213,221,595,880,985,1535,1325,3459,3754,48013960100,48,013,960100
7326,316,804,891,1526,1403,842,3463,3863,48013960201,48,013,960201
11041,689,1038,1253,2315,1821,1345,6042,4999,48013960202,48,013,960202
3707,104,443,612,799,623,480,1978,1729,48013960300,48,013,960300
2450,82,231,316,391,422,325,1272,1178,48013960401,48,013,960401
9104,420,712,1303,1528,1545,1393,4289,4815,48013960402,48,013,960402
2545,125,162,370,344,531,463,1194,1351,48013960500,48,013,960500
6142,361,494,875,1201,863,926,3036,3106,48013960600,48,013,960600
2781,93,160,398,404,536,484,1372,1409,48015760100,48,015,760100
5876,274,396,664,1193,1048,909,2936,2940,48015760200,48,015,760200
6777,258,508,759,1183,1457,1175,3148,3629,48015760300,48,015,760300
4009,177,434,193,623,1039,932,2012,1997,48015760400,48,015,760400
4894,184,289,308,873,1124,1098,2556,2338,48015760501,48,015,760501
5427,277,610,1005,814,1037,979,2658,2769,48015760502,48,015,760502
7100,619,770,862,1277,1145,985,3611,3489,48017950100,48,017,950100
4393,116,155,334,569,1181,1361,1980,2413,48019000101,48,019,000101
5955,193,677,398,1078,1320,1561,3029,2926,48019000102,48,019,000102
2825,116,187,245,340,633,864,1482,1343,48019000200,48,019,000200
6774,236,370,593,1047,2261,1403,3336,3438,48019000300,48,019,000300
2268,57,113,162,428,442,684,1365,903,48019000400,48,019,000400
8298,402,472,555,1560,2373,1591,4211,4087,48021950100,48,021,950100
9373,473,914,1158,1777,1683,1246,4508,4865,48021950200,48,021,950200
16034,1138,1057,1971,2919,3043,2170,7934,8100,48021950300,48,021,950300
9375,176,601,1204,2017,1692,2031,4637,4738,48021950400,48,021,950400
