"GEO_ID","id"
"NAME","Geographic Area Name"
"S2403_C01_001E","Estimate!!Total!!Civilian employed population 16 years and over"
"S2403_C01_001M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S2403_C01_002E","Estimate!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C01_002M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:"
"S2403_C01_003E","Estimate!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C01_003M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Agriculture, forestry, fishing and hunting"
"S2403_C01_004E","Estimate!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C01_004M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining:!!Mining, quarrying, and oil and gas extraction"
"S2403_C01_005E","Estimate!!Total!!Civilian employed population 16 years and over!!Construction"
"S2403_C01_005M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Construction"
"S2403_C01_006E","Estimate!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C01_006M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2403_C01_007E","Estimate!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C01_007M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2403_C01_008E","Estimate!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C01_008M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2403_C01_009E","Estimate!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C01_009M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:"
"S2403_C01_010E","Estimate!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C01_010M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Transportation and warehousing"
"S2403_C01_011E","Estimate!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C01_011M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities:!!Utilities"
"S2403_C01_012E","Estimate!!Total!!Civilian employed population 16 years and over!!Information"
"S2403_C01_012M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Information"
"S2403_C01_013E","Estimate!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C01_013M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:"
"S2403_C01_014E","Estimate!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C01_014M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Finance and insurance"
"S2403_C01_015E","Estimate!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C01_015M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing:!!Real estate and rental and leasing"
"S2403_C01_016E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services:"
